    time     gap  src>dst   cmd   reg   len  ok
   5.406   51.4ms  21>20     65    00    5    ok
   5.406    0.0ms  21>20     65    00    5    ok
   5.406    0.0ms  21>20     65    00    5    ok
   5.456   50.1ms  21>20     65    00    5    ok
   5.456  101.6ms  21>20     64    00    7    ok
   5.456  101.6ms  20>21     64    00    6    ok
   5.456    0.0ms  21>20     65    00    5    ok
   5.508   52.2ms  21>20     65    00    5    ok
   5.508    0.0ms  21>20     65    00    5    ok
   5.559   50.6ms  21>20     65    00    5    ok
   5.559  103.0ms  21>20     64    00    7    ok
   5.559  103.0ms  20>21     64    00    6    ok
   5.559    0.1ms  21>20     65    00    5    ok
   5.610   51.2ms  21>20     65    00    5    ok
   5.610    0.1ms  21>20     65    00    5    ok
   5.661   51.1ms  21>20     65    00    5    ok
   5.661  102.7ms  21>20     64    00    7    ok
   5.661  102.7ms  20>21     64    00    6    ok
   5.661    0.2ms  21>20     65    00    5    ok
   5.714   53.0ms  21>20     65    00    5    ok
   5.715    0.0ms  21>20     65    00    5    ok
   5.765   50.8ms  21>20     65    00    5    ok
   5.765  103.9ms  21>20     64    00    7    ok
   5.765  103.9ms  20>21     64    00    6    ok
   5.765    0.1ms  21>20     65    00    5    ok
   5.816   51.0ms  21>20     65    00    5    ok
   5.816    0.0ms  21>20     65    00    5    ok
   5.816    0.0ms  21>20     65    00    5    ok
   5.869  103.2ms  21>20     64    00    7    ok
   5.869  103.3ms  20>21     64    00    6    ok
   5.869   52.3ms  21>20     65    00    5    ok
   5.919   50.2ms  21>20     65    00    5    ok
   5.919    0.0ms  21>20     65    00    5    ok
   5.919    0.0ms  21>20     65    00    5    ok
   5.970  101.8ms  21>20     64    00    7    ok
   5.970  101.8ms  20>21     64    00    6    ok
   5.970   51.6ms  21>20     65    00    5    ok
   6.021   50.7ms  21>20     65    00    5    ok
   6.021    0.0ms  21>20     65    00    5    ok
   6.021    0.0ms  21>20     65    00    5    ok
   6.074  103.7ms  21>20     64    00    7    ok
   6.074  103.7ms  20>21     64    00    6    ok
   6.074   52.9ms  21>20     65    00    5    ok
   6.126   51.6ms  21>20     65    00    5    ok
   6.126    0.1ms  21>20     65    00    5    ok
   6.126    0.0ms  21>20     65    00    5    ok
   6.177  102.9ms  21>20     64    00    7    ok
   6.177  102.9ms  20>21     64    00    6    ok
   6.177   51.2ms  21>20     65    00    5    ok
   6.177    0.0ms  21>20     65    00    5    ok
   6.229   51.6ms  21>20     65    00    5    ok
   6.229    0.0ms  21>20     65    00    5    ok
   6.279  102.2ms  21>20     64    00    7    ok
   6.279  102.2ms  20>21     64    00    6    ok
   6.279   50.5ms  21>20     65    00    5    ok
   6.279    0.0ms  21>20     65    00    5    ok
   6.331   52.2ms  21>20     65    00    5    ok
   6.331    0.0ms  21>20     65    00    5    ok
   6.383  103.5ms  21>20     64    00    7    ok
   6.383  103.5ms  20>21     64    00    6    ok
   6.383   51.2ms  21>20     65    00    5    ok
   6.383    0.0ms  21>20     65    00    5    ok
   6.436   52.9ms  21>20     65    00    5    ok
   6.436    0.0ms  21>20     65    00    5    ok
   6.486  103.1ms  21>20     64    00    7    ok
   6.486  103.1ms  20>21     64    00    6    ok
   6.486   50.2ms  21>20     65    00    5    ok
   6.486    0.0ms  21>20     65    00    5    ok
   6.538   52.1ms  21>20     65    00    5    ok
   6.538    0.0ms  21>20     65    00    5    ok
   6.538   52.2ms  21>20     64    00    7    ok
   6.591  104.8ms  20>21     64    00    6    ok
   6.591   52.7ms  21>20     65    00    5    ok
   6.591    0.0ms  21>20     65    00    5    ok
   6.641   50.8ms  21>20     65    00    5    ok
   6.641    0.0ms  21>20     65    00    5    ok
   6.641  103.5ms  21>20     64    00    7    ok
   6.694  103.6ms  20>21     64    00    6    ok
   6.694   52.8ms  21>20     65    00    5    ok
   6.694    0.0ms  21>20     65    00    5    ok
   6.745   51.2ms  21>20     65    00    5    ok
   6.745    0.0ms  21>20     65    00    5    ok
   6.746  104.0ms  21>20     64    00    7    ok
   6.797  102.8ms  20>21     64    00    6    ok
   6.797   51.5ms  21>20     65    00    5    ok
   6.797    0.0ms  21>20     65    00    5    ok
   6.848   51.0ms  21>20     65    00    5    ok
   6.848    0.0ms  21>20     65    00    5    ok
   6.848  102.6ms  21>20     64    00    7    ok
   6.848   51.2ms  20>21     64    00    6    ok
   6.898   50.1ms  21>20     65    00    5    ok
   6.898    0.0ms  21>20     65    00    5    ok
   6.898    0.0ms  21>20     65    00    5    ok
   6.949   50.4ms  21>20     65    00    5    ok
   6.949  100.6ms  21>20     64    00    7    ok
