    time     gap  src>dst   cmd   reg   len  ok
   4.016    0.0ms  21>20     65    00    5    ok
   4.067   51.4ms  21>20     65    00    5    ok
   4.067  104.5ms  21>20     64    00    7    ok
   4.067  104.5ms  20>21     64    00    6    ok
   4.067    0.1ms  21>20     65    00    5    ok
   4.119   51.6ms  21>20     65    00    5    ok
   4.119    0.0ms  21>20     65    00    5    ok
   4.119    0.0ms  21>20     65    00    5    ok
   4.172  104.3ms  21>20     64    00    7    ok
   4.172  104.3ms  20>21     64    00    6    ok
   4.172   52.7ms  21>20     65    00    5    ok
   4.222   50.7ms  21>20     65    00    5    ok
   4.222    0.0ms  21>20     65    00    5    ok
   4.222    0.0ms  21>20     65    00    5    ok
   4.276  104.2ms  21>20     64    00    7    ok
   4.276  104.2ms  20>21     64    00    6    ok
   4.276   53.5ms  21>20     65    00    5    ok
   4.327   50.9ms  21>20     65    00    5    ok
   4.327    0.0ms  21>20     65    00    5    ok
   4.327    0.0ms  21>20     65    00    5    ok
   4.379  103.4ms  21>20     64    00    7    ok
   4.379  103.4ms  20>21     64    00    6    ok
   4.379   52.5ms  21>20     65    00    5    ok
   4.431   51.9ms  21>20     65    00    5    ok
   4.431    0.0ms  21>20     65    00    5    ok
   4.431    0.0ms  21>20     65    00    5    ok
   4.482  102.5ms  21>20     64    00    7    ok
   4.482  102.5ms  20>21     64    00    6    ok
   4.482   50.6ms  21>20     65    00    5    ok
   4.482    0.0ms  21>20     65    00    5    ok
   4.534   52.2ms  21>20     65    00    5    ok
   4.534    0.0ms  21>20     65    00    5    ok
   4.585  103.6ms  21>20     64    00    7    ok
   4.585  103.6ms  20>21     64    00    6    ok
   4.585   51.3ms  21>20     65    00    5    ok
   4.585    0.0ms  21>20     65    00    5    ok
   4.639   53.8ms  21>20     65    00    5    ok
   4.639    0.0ms  21>20     65    00    5    ok
   4.692  106.3ms  21>20     64    00    7    ok
   4.692  106.3ms  20>21     64    00    6    ok
   4.692   52.5ms  21>20     65    00    5    ok
   4.692    0.0ms  21>20     65    00    5    ok
   4.742   50.4ms  21>20     65    00    5    ok
   4.742    0.0ms  21>20     65    00    5    ok
   4.742   50.5ms  21>20     64    00    7    ok
   4.795  103.6ms  20>21     64    00    6    ok
   4.795   53.2ms  21>20     65    00    5    ok
   4.795    0.0ms  21>20     65    00    5    ok
   4.846   50.3ms  21>20     65    00    5    ok
   4.846    0.0ms  21>20     65    00    5    ok
   4.846  103.6ms  21>20     64    00    7    ok
   4.898  103.0ms  20>21     64    00    6    ok
   4.898   52.6ms  21>20     65    00    5    ok
   4.898    0.0ms  21>20     65    00    5    ok
   4.949   50.5ms  21>20     65    00    5    ok
   4.949    0.0ms  21>20     65    00    5    ok
   4.949  103.1ms  21>20     64    00    7    ok
   4.949   50.6ms  20>21     64    00    6    ok
   5.000   51.3ms  21>20     65    00    5    ok
